date,ratio,region
2023-05-30,3.058422103861518,고흥·녹동항
2023-05-31,3.279654904571682,고흥·녹동항
2023-06-01,4.166666666666666,고흥·녹동항
2023-06-02,6.825621393697292,고흥·녹동항
2023-06-03,33.46579560585885,고흥·녹동항
2023-06-04,7.136318242343542,고흥·녹동항
2023-06-05,5.540529294274301,고흥·녹동항
2023-06-06,3.8115845539280957,고흥·녹동항
2023-06-07,4.742288060363959,고흥·녹동항
2023-06-08,3.7671992898357742,고흥·녹동항
2023-06-09,5.141755437194851,고흥·녹동항
2023-06-10,21.143336662228137,고흥·녹동항
2023-06-11,2.703339991122947,고흥·녹동항
2023-06-12,3.19088437638704,고흥·녹동항
2023-06-13,2.526492454505104,고흥·녹동항
2023-06-14,2.482107190412783,고흥·녹동항
2023-06-15,2.526492454505104,고흥·녹동항
2023-06-16,5.141755437194851,고흥·녹동항
2023-06-17,17.81860297381269,고흥·녹동항
2023-06-18,2.614569462938304,고흥·녹동항
2023-06-19,4.1222814025743455,고흥·녹동항
2023-06-20,3.5459664891256106,고흥·녹동항
2023-06-21,1.772636484687084,고흥·녹동항
2023-06-22,3.9003550821127377,고흥·녹동항
2023-06-23,4.521055259653794,고흥·녹동항
2023-06-24,19.59193297825122,고흥·녹동항
2023-06-25,3.058422103861518,고흥·녹동항
2023-06-26,1.772636484687084,고흥·녹동항
2023-06-27,1.772636484687084,고흥·녹동항
2023-06-28,0.8419329782512206,고흥·녹동항
2023-06-29,1.5514036839769196,고흥·녹동항
2023-06-30,2.7477252552152684,고흥·녹동항
2023-07-01,12.94315912117177,고흥·녹동항
2023-07-02,2.7921105193075895,고흥·녹동항
2023-07-03,2.482107190412783,고흥·녹동항
2023-07-04,1.9945628051486906,고흥·녹동항
2023-07-05,2.7921105193075895,고흥·녹동항
2023-07-06,35.46035841100755,고흥·녹동항
2023-07-07,8.997725255215268,고흥·녹동항
2023-07-08,17.021055259653796,고흥·녹동항
2023-07-09,3.3240401686640033,고흥·녹동항
2023-07-10,2.260180869951176,고흥·녹동항
