,count,mean,std,min,max,median,q25,q75,skewness,kurtosis,cv
고흥·녹동항,1004.0,0.07526776892430279,0.12946970635177157,0.0,1.44192,0.04026,0.0083,0.07621,4.291343487898365,25.56305439864897,1.7201214836323895
당진·삽교호,1004.0,0.07969216135458167,0.2556648470423149,0.0,3.44757,0.0,0.0,0.0385,6.678172204210191,57.52344743374855,3.2081555161336603
부산·광안리,1004.0,1.4515435358565736,3.559470983999105,0.26269,100.0,0.76378,0.58402,1.18178,21.817363572935086,587.0745138851747,2.452197192899638
