region,고흥·녹동항,당진·삽교호,부산·광안리
고흥·녹동항,1.0,0.2721336249005048,0.2042591925648043
당진·삽교호,0.2721336249005048,1.0,0.08686247563110042
부산·광안리,0.2042591925648043,0.08686247563110042,1.0
