quarter,region,mean,std,max
1,고흥·녹동항,0.0067071586715867154,0.014525305340346057,0.19366
1,당진·삽교호,0.0019117343173431734,0.004804537008900237,0.03387
1,부산·광안리,1.6087828782287823,6.202198367125356,100.0
2,고흥·녹동항,0.11329102564102565,0.1650616532955188,1.44192
2,당진·삽교호,0.1034506227106227,0.30424930486044943,3.44757
2,부산·광안리,1.1992569963369963,1.2805264505547538,7.81615
3,고흥·녹동항,0.11991898550724638,0.14893541464816756,0.94338
3,당진·삽교호,0.0920506884057971,0.22404210205120906,1.82413
3,부산·광안리,1.6399265942028984,1.718760179368202,11.03235
4,고흥·녹동항,0.05285385869565218,0.07143164474391903,0.40138
4,당진·삽교호,0.14046108695652174,0.3625739446148414,2.71957
4,부산·광안리,1.3116991847826087,2.3676015853901506,28.24272
