day_of_week_num,region,mean,std,max
0,고흥·녹동항,0.052175763888888886,0.09965282284065863,0.83217
0,당진·삽교호,0.04289611111111111,0.09679138593059398,0.87819
0,부산·광안리,1.4311870833333333,8.281961154489641,100.0
1,고흥·녹동항,0.04161611111111111,0.06675106732454987,0.67366
1,당진·삽교호,0.06057548611111111,0.2933152032587113,3.44757
1,부산·광안리,0.7647820138888889,1.0191106149166416,12.18282
2,고흥·녹동항,0.04003426573426573,0.0462365036187495,0.37006
2,당진·삽교호,0.03954944055944056,0.084653944491646,0.5241
2,부산·광안리,0.6878492307692308,0.3248872673411349,3.24943
3,고흥·녹동항,0.050408321678321676,0.06498903538058252,0.51131
3,당진·삽교호,0.03931174825174825,0.07166731135841936,0.28569
3,부산·광안리,0.7552097902097903,0.33476868039362767,2.67547
4,고흥·녹동항,0.07407447552447553,0.07520949118519327,0.3886
4,당진·삽교호,0.06411370629370629,0.12039756431885625,0.51068
4,부산·광안리,1.1504193006993007,0.6073095963978935,5.91788
5,고흥·녹동항,0.21625174825174825,0.243601512638157,1.44192
5,당진·삽교호,0.2581156643356643,0.5397280070039445,2.71957
5,부산·광안리,4.13419020979021,1.8801604379048693,11.72966
6,고흥·녹동항,0.05286715277777778,0.09167567742698594,0.94338
6,당진·삽교호,0.053854652777777776,0.09726359831879836,0.43206
6,부산·광안리,1.2435663888888888,2.503926531130128,28.24272
